Order_ID,Sale_Date,Brand,Model,Category,Color,Engine_CC,Fuel_Type,Transmission,Mileage_KMPL,Ex_Showroom_Price_INR,Discount_INR,Units_Sold,Revenue_INR,State,City,Sales_Channel,Customer_Segment,Payment_Method,Customer_Rating
IND-10340,20-06-2024,Royal Enfield,Bullet 350,Electric,Racing Blue,0,EV,Manual,N/A,110700,-5000,4,402800,Delhi,New Delhi,Online,Working Professional,Cash,4.7
IND-14206,30-04-2021,Hero,HF Deluxe,Commuter,,150,Electric,Manual,N/A,55500,5000,15,757500,Gujarat,Ahmedabad,Dealership,Student,Cash,3.6
IND-16541,26-06-2022,Jawa,Jawa 42,Cruiser,Matte Black,500,Electric,Manual,N/A,202000,2000,3,600000,West Bengal,Kolkata,Exchange,Delivery Executive,Cash,
IND-14114,04-05-2022,Honda,Shine,Electric,Glossy Red,0,Petrol,Manual,69.9,91300,15000,2,152600,Telangana,Hyderabad,Company Direct,Working Professional,,4
IND-16282,10-08-2022,Mahindra,,Scooter,Matte Black,110,Electric,Manual,N/A,76700,,9,672300,GUJARAT,Ahmedabad,Company Direct,Businessman,Credit Card,4.1
IND-12434,02-01-2023,honda,CB300R,Commuter,Pearl White,110,BS6 Petrol,Manual,68.9,70000,15000,11,605000,Kerala,Kochi,Online,Working Professional,EMI,3.4
IND-10544,24-09-2024,Bajaj,,Superbike,Lime Green,1000,Electric,Manual,,380800,0,5,1904000,WEST BENGAL,Kolkata,Company Direct,Businessman,Loan,3.3
IND-19881,15.03.2024,Jawa,,Scooter,Lime Green,110,Petrol,Manual,,116300,10000,3,318900,Rajasthan,Jaipur,Exchange,Delivery Executive,Cash,3.9
IND-19276,23-08-2021,Bajaj,Avenger 220,Adventure,Pearl White,390,BS6 Petrol,Manual,30.3,253800,5000,5,1244000,West Bengal,Kolkata,Dealership,Homemaker,EMI,4.7
IND-18033,04-12-2021,Mahindra,Duro DZ,Cruiser,Matte Black,500,Electric,Manual,N/A,178900,2000,4,707600,West Bengal,Kolkata,Company Direct,Homemaker,Loan,4.6
IND-18187,20-05-2022,Honda,Activa 6G,Commuter,Candy Yellow,110,Petrol ,Manual,53.5,,3000,3,222300,Telangana,Hyderabad,Company Direct,Businessman,Loan,3.3
IND-17492,28-08-2022,Jawa,Perak,Sports,Pearl White,200,BS6 Petrol,Manual,64.8,158400,5000,2,306800,Tamil Nadu,Chennai,Dealership,Working Professional,Cash,3.7
IND-16841,18-07-2021,Yamaha,Ray ZR,Superbike,,650,bs6 petrol,Manual,66.9,434600,3000,13,5610800,Uttar Pradesh,Lucknow,Dealership,Working Professional,Credit Card,4
IND-10334,11-04-2023,Jawa,Perak,Adventure,Matte Black,300,BS6 Petrol,Manual,46.2,371700,0,3,1115100,Tamil Nadu,Chennai,Exchange,Homemaker,UPI,4.3
IND-14265,18-11-2024,Hero,Glamour,Superbike,Matte Black,650,bs6 petrol,Manual,36.7,423400,10000,2,826800,Telangana,Hyderabad,Company Direct,Student,Loan,4.8
IND-12771,02-05-2021,TVS,Jupiter,Superbike,Sunset Orange,650,Petrol,Manual,58.4,329600,,2,629200,Rajasthan,Jaipur,Company Direct,Working Professional,Cash,3.5
IND-13962,21-07-2024,KTM,Duke 200,Superbike,Sunset Orange,390,Electric,Manual,N/A,402000,10000,11,4312000,Gujarat,Ahmedabad,Company Direct,Businessman,Cash,3.8
IND-18718,13-10-2024,Hero,Glamour,Scooter,Glossy Red,110,Electric,Manual,N/A,70900,5000,9,593100,Rajasthan,Jaipur,Online,Homemaker,Cash,4
IND-10307,31.07.2022,Honda,CB300R,Commuter,Pearl White,100,BS6 Petrol,Manual,61.5,59700,3000,15,850500,Telangana,Hyderabad,Dealership,Businessman,UPI,4.2
IND-15734,08-08-2022,Mahindra,Duro DZ,Sports,Midnight Grey,200,Electric,Manual,N/A,115600,0,8,924800,Tamil Nadu,Chennai,,Businessman,EMI,4.7
IND-14701,01-01-2022,Suzuki,Gixxer 250,Superbike,Pearl White,1000,Petrol,Manual,,360100,15000,9,3105900,Tamil Nadu,Chennai,Dealership,Homemaker,EMI,
IND-11565,06-01-2022,TVS,Raider 125,Commuter,Matte Black,125,Petrol,Manual,43.2,63600,2000,6,369600,Karnataka,Bengaluru,Dealership,Homemaker,EMI,3.3
IND-19877,28-10-2024,Yamaha,R15 V4,Cruiser,Candy Yellow,220,BS6 Petrol,Manual,53.2,159400,2000,10,1574000,Kerala,Kochi,,Student,EMI,4.5
IND-11095,05-03-2024,Yamaha,Ray ZR,Adventure,Pearl White,650,Electric,Manual,N/A,270300,3000,14,3742200,Delhi,New Delhi,Online,Businessman,UPI,4.8
IND-13848,18-07-2022,KTM,Duke 390,Commuter,Lime Green,100,Electric,Manual,N/A,63400,10000,9,480600,Gujarat,Ahmedabad,Company Direct,Delivery Executive,UPI,4.1
IND-15068,23-07-2022,Mahindra,Gusto 125,Scooter,Midnight Grey,150,BS6 Petrol,Manual,70.1,72600,2000,9,635400,Karnataka,Bengaluru,Company Direct,Homemaker,UPI,3.8
IND-14854,04-04-2024,Hero,,Sports,Pearl White,200,BS6 Petrol,Manual,,180900,0,7,1266300,Tamil Nadu,Chennai,Dealership,Student,,
IND-18412,26-04-2021,TVS,iQube Electric,Commuter,Sunset Orange,150,Electric,Manual,N/A,84500,15000,6,417000,Uttar Pradesh,Lucknow,Online,Businessman,EMI,3.6
IND-17681,11-12-2021,TVS,iQube Electric,commuter,Midnight Grey,100,Petrol,Manual,61.9,73200,7000,15,993000,Rajasthan,Jaipur,Online,Homemaker,Credit Card,
IND-13943,29-01-2024,Bajaj,Dominar 400,SCOOTER,Sunset Orange,125,BS-6,Manual,,77000,7000,11,770000,Rajasthan,Jaipur,Dealership,Businessman,Credit Card,4.8
IND-18492,22-02-2023,Hero ,Passion Pro,Commuter,Pearl White,110,Petrol,Manual,64.2,75300,7000,10,683000,West Bengal,Kolkata,Company Direct,Working Professional,Cash,3.5
IND-11603,06-03-2023,Honda Ltd,CB Unicorn,Commuter,Candy Yellow,100,BS6 Petrol,Manual,56.5,85500,15000,11,775500,Telangana,Hyderabad,Company Direct,Student,EMI,4.8
IND-13093,12-08-2022,Mahindra,Centuro,Sports,Glossy Red,160,Electric,Manual,N/A,163000,3000,2,320000,Gujarat,Ahmedabad,Company Direct,Student,Loan,4.4
IND-20054,03-05-2022,Suzuki,Access 125,Sports,Midnight Grey,200,Petrol,Manual,74.9,135700,2000,1,133700,Kerala,Kochi,Online,Homemaker,Loan,3.5
IND-14721,01-04-2021,Suzuki,Intruder 150,Cruiser,Midnight Grey,350,Petrol,Manual,66.5,165400,7000,2,316800,Tamil Nadu,Chennai,Company Direct,Student,Cash,
IND-15197,27-03-2021,Suzuki,Intruder 150,Superbike,Glossy Red,1000,Electric,Manual,N/A,306200,10000,14,4146800,Maharashtra,Mumbai,Online,Homemaker,Loan,4.5
IND-16894,20-01-2024,Hero,HF Deluxe,Commuter,,100,BS6 Petrol,Manual,47.5,74200,5000,4,276800,Kerala,Kochi,Exchange,Delivery Executive,EMI,3
IND-17553,05.06.2021,KTM,Duke 390,Superbike,Sunset Orange,650,Electric,Manual,N/A,516600,0,12,6199200,Kerala,Kochi,Dealership,Student,Credit Card,4.2
IND-16897,18-03-2022,TVS,Ntorq 125,Electric,Pearl White,0,Electric ,Manual,N/A,125000,0,4,500000,Rajasthan,Jaipur,Dealership,Working Professional,Loan,3.2
IND-12421,31.10.2023,Yamaha,MT-15,Adventure,Lime Green,390,BS6 Petrol,Manual,38,,2000,14,3182200,Tamil Nadu,Chennai,Exchange,Homemaker,EMI,4.6
IND-12799,30-05-2024,Bajaj Auto,,Adventure,Midnight Grey,390,Electric,Manual,N/A,258000,15000,12,2916000,Telangana,Hyderabad,Exchange,Student,Cash,4.4
IND-11727,23-09-2023,Bajaj Auto,Platina 110,Commuter,Candy Yellow,125,PETROL,Manual,47.6,59800,15000,10,448000,Kerala,Kochi,Exchange,Working Professional,Loan,3.5
IND-13516,29-09-2024,Mahindra,Gusto 125,Electric,Matte Black,0,Electric,Manual,N/A,102600,,14,1394400,Karnataka,Bengaluru,Exchange,Businessman,EMI,4.6
IND-10724,25-11-2024,honda,,cruiser,Midnight Grey,350,Petrol,Manual,,222200,5000,4,868800,Uttar Pradesh,Lucknow,Online,Student,Cash,3.2
IND-14033,03-10-2024,Jawa,Jawa Classic,Superbike,Candy Yellow,1000,BS6 Petrol,Manual,65.6,346900,7000,2,679800,Kerala,Kochi,Online,Delivery Executive,Cash,3.6
IND-19476,10-11-2021,TVS,iQube Electric,Scooter,Glossy Red,110,Electric,Manual,N/A,83900,7000,13,999700,Maharashtra,Mumbai,Exchange,Homemaker,Cash,4.8
IND-15881,16-09-2024,Jawa,Jawa Classic,Cruiser,Pearl White,220,Petrol,Manual,40.5,199900,0,7,1399300,Karnataka,Bengaluru,Exchange,Working Professional,Cash,3.1
IND-11243,16-01-2024,Royal Enfield,Bullet 350,Scooter,Sunset Orange,110,BS6 Petrol,Manual,72.9,78300,0,14,1096200,Gujarat,Ahmedabad,Dealership,Delivery Executive,Cash,4.3
IND-16726,28-06-2021,Hero,Passion Pro,Electric,,0,Electric,Manual,N/A,148400,10000,9,1245600,Rajasthan,Jaipur,Exchange,Homemaker,UPI,4.2
IND-13242,19-09-2024,Honda,Hornet 2.0,Scooter,Midnight Grey,110,BS6 Petrol,Manual,36.4,71300,15000,1,56300,Maharashtra,Mumbai,Online,Homemaker,Loan,3.8
IND-15158,12-06-2021,Honda,,Scooter,Sunset Orange,125,Petrol,Manual,62.2,74000,15000,5,295000,Uttar Pradesh,Lucknow,Company Direct,Businessman,UPI,4.5
IND-16994,27-05-2021,KTM,Duke 390,Adventure,Midnight Grey,650,BS6 Petrol,Manual,64.3,271900,5000,3,800700,Gujarat,Ahmedabad,Dealership,Businessman,EMI,4.2
IND-12204,25-05-2022,Hero,,Commuter,Pearl White,100,BS6 Petrol,Manual,61.3,79900,10000,7,489300,Kerala,Kochi,Dealership,Businessman,EMI,4.2
IND-18889,04-07-2021,Jawa,Perak,Scooter,Racing Blue,125,Electric,Manual,N/A,90600,10000,14,1128400,Rajasthan,Jaipur,Exchange,Student,Cash,4.8
IND-18567,19-04-2022,TVS,iQube Electric,Sports,Glossy Red,250,Petrol,Manual,68.1,103400,5000,15,1476000,Rajasthan,Jaipur,Exchange,Businessman,Loan,4.5
IND-18325,21-07-2021,TVS,Raider 125,Sports,Glossy Red,160,Electric,Manual,N/A,159300,5000,8,1234400,Telangana,Hyderabad,Online,Delivery Executive,Cash,4.1
IND-12521,05-12-2022,Suzuki,Intruder 150,Sports,Racing Blue,200,BS6 Petrol,Manual,65.5,186300,15000,8,1370400,Tamil Nadu,Chennai,Online,Businessman,UPI,4.2
IND-18239,13-07-2023,Jawa,Perak,Cruiser,Pearl White,500,BS6 Petrol,Manual,51.3,245000,5000,5,1200000,West Bengal,Kolkata,,Delivery Executive,Cash,3.9
IND-15548,10-02-2024,Jawa,42 Bobber,Superbike,Lime Green,390,Electric,Manual,N/A,,15000,9,3074400,West Bengal,Kolkata,Dealership,Student,Credit Card,3.5
IND-16681,30-09-2023,Hero,Xtreme 160R,Commuter,Sunset Orange,125,Petrol,Manual,47.9,78600,0,15,1179000,Uttar Pradesh,Lucknow,Company Direct,Delivery Executive,Credit Card,4.6
IND-12092,29-06-2022,Royal Enfield,Bullet 350,Electric,,0,Petrol,Manual,54.2,144500,0,6,867000,Rajasthan,Jaipur,,Working Professional,EMI,4.7
IND-15785,11-05-2023,Mahindra,Centuro,Superbike,Matte Black,650,Petrol,Manual,66.9,437300,,14,5982200,Uttar Pradesh,Lucknow,Exchange,Delivery Executive,Cash,
IND-18877,19-12-2021,Hero,Passion Pro,Sports,Midnight Grey,160,Electric,Manual,N/A,174000,2000,11,1892000,Gujarat,Ahmedabad,Online,Homemaker,Cash,4.2
IND-11718,19-05-2022,Suzuki,Burgman Street,Sports,Pearl White,150,Electric ,Manual,N/A,184700,5000,14,2515800,West Bengal,Kolkata,Dealership,Student,UPI,3
IND-13339,14-01-2022,Hero,,Adventure,Glossy Red,390,BS6 Petrol,Manual,70.4,333200,10000,10,3232000,Maharashtra,Mumbai,Online,Businessman,UPI,4.9
IND-10253,14-02-2024,TVS Motors,Jupiter,Sports,Glossy Red,150,Electric,Manual,N/A,189500,5000,4,738000,Karnataka,Bengaluru,Exchange,Businessman,EMI,3.2
IND-11346,15-04-2024,Jawa,Jawa 42,Commuter,Midnight Grey,100,Petrol,Manual,36.6,84900,7000,9,701100,Delhi,New Delhi,Company Direct,Delivery Executive,Loan,4.2
IND-12794,23-09-2023,Royal Enfield,,Scooter,Candy Yellow,150,BS6 Petrol,Manual,44.9,99300,10000,15,1339500,Rajasthan,Jaipur,Exchange,Businessman,Credit Card,4.8
IND-17943,15-12-2021,Suzuki,Burgman Street,Superbike,Glossy Red,1000,Petrol,Manual,53.3,479600,0,15,7194000,Gujarat,Ahmedabad,Online,Businessman,UPI,3.7
IND-19461,02-03-2022,Hero,HF Deluxe,Electric,,0,Electric,Manual,N/A,132700,5000,11,1404700,Maharashtra,Mumbai,Online,Homemaker,Loan,4.7
IND-13517,18-08-2024,Hero,Passion Pro,Cruiser,Lime Green,500,Petrol,Manual,43.6,,2000,7,1101100,Rajasthan,Jaipur,Company Direct,Homemaker,Loan,3.1
IND-14098,25-09-2021,Royal Enfield,Himalayan,Cruiser,Candy Yellow,220,Petrol,Manual,40.4,164400,3000,13,2098200,Rajasthan,Jaipur,Company Direct,Working Professional,EMI,4.3
IND-13149,08-01-2024,Jawa,Yezdi Scrambler,Superbike,Sunset Orange,390,BS6 Petrol,Manual,66.1,,5000,8,4568000,Karnataka,Bengaluru,Company Direct,Homemaker,UPI,4
IND-14671,13-11-2023,Suzuki,V-Strom 650,Electric,Pearl White,0,Petrol,Manual,74.7,108100,15000,3,279300,Delhi,New Delhi,Company Direct,Student,Credit Card,3.4
IND-13700,09-06-2023,Mahindra,Gusto 125,Electric,Midnight Grey,0,Electric,Manual,N/A,95800,5000,6,544800,Gujarat,Ahmedabad,Dealership,Businessman,Credit Card,4.7
IND-12637,14-06-2022,Jawa,42 Bobber,Scooter,Candy Yellow,150,PETROL,Manual,48.8,87900,,7,601300,Karnataka,Bengaluru,Exchange,Businessman,Credit Card,3.1
IND-11106,14-06-2024,Bajaj,Dominar 400,Superbike,Lime Green,1000,Petrol,Manual,64.4,407500,10000,8,3180000,Rajasthan,Jaipur,Exchange,Businessman,EMI,4
IND-19113,03-07-2024,Suzuki,Burgman Street,Sports,Racing Blue,250,Electric,Manual,N/A,131100,0,11,1442100,Delhi,New Delhi,,Homemaker,Cash,4.3
IND-12603,17-06-2021,Royal Enfield India,Bullet 350,Adventure,Sunset Orange,300,BS6 Petrol,Manual,,238600,10000,15,3429000,Delhi,New Delhi,,Working Professional,Credit Card,4
IND-18601,26-11-2022,Royal Enfield,Thunderbird 350X,Electric,Candy Yellow,0,BS6 Petrol,Manual,72.7,,2000,12,1393200,Uttar Pradesh,Lucknow,Online,Working Professional,Credit Card,
